Rk,Player,Pos,Age,Tm,MP,FG,FGA,FT,FTA,PF,PTS
472,Shayne Whittington,PF,23,IND,108,19,42,18,23,18,57
292,Shelvin Mack,PG,24,ATL,833,117,292,25,31,32,299
47,Sim Bhullar,C,22,SAC,3,1,2,0,0,0,2
216,Solomon Hill,SF,23,IND,2381,251,634,159,193,177,729
128,Spencer Dinwiddie,PG,21,DET,455,51,169,31,34,53,145
204,Spencer Hawes,PF,26,LAC,1274,163,415,44,68,173,425
112,Stephen Curry,PG,26,GSW,2613,653,1341,308,337,158,1900
51,Steve Blake,PG,34,POR,1529,122,327,29,41,118,350
346,Steve Novak,PF,31,OKC,88,6,21,0,0,10,15
3,Steven Adams,C,21,OKC,1771,217,399,103,205,222,537
464,T.J. Warren,SF,21,PHO,614,113,214,14,19,51,245
171,Taj Gibson,PF,29,CHI,1692,254,506,132,184,162,640
49,Tarik Black,C,23,LAL,803,112,190,50,89,102,274
376,Tayshaun Prince,SF,34,DET,571,69,160,19,29,26,168
253,Terrence Jones,PF,23,HOU,889,158,299,57,94,78,386
393,Terrence Ross,SF,23,TOR,2092,309,753,44,56,136,807
404,Thabo Sefolosha,SF,30,ATL,976,104,249,45,58,67,278
490,Thaddeus Young,PF,26,BRK,829,162,327,43,71,56,386
389,Thomas Robinson,PF,23,PHI,407,79,169,35,58,50,193
421,Tiago Splitter,C,30,SAS,1030,169,303,90,120,103,428
137,Tim Duncan,PF,38,SAS,2227,419,819,230,311,165,1070
158,Tim Frazier,PG,24,POR,68,8,18,5,6,10,23
196,Tim Hardaway,SG,22,NYK,1681,279,717,125,156,119,804
335,Timofey Mozgov,C,28,CLE,1148,197,334,92,130,113,486
202,Tobias Harris,SF,22,ORL,2369,442,949,193,245,134,1164
130,Toney Douglas,PG,28,NOP,177,19,51,8,13,20,51
11,Tony Allen,SG,33,MEM,1648,225,455,79,126,166,539
358,Tony Parker,PG,32,SAS,1953,404,832,130,166,108,976
419,Tony Snell,SF,23,CHI,1412,159,371,44,55,86,435
487,Tony Wroten,SG,21,PHI,895,175,434,120,180,72,507
337,Toure' Murry,SG,25,WAS,17,2,4,2,2,2,6
467,Travis Wear,SF,24,NYK,672,84,209,20,26,55,199
22,Trevor Ariza,SF,29,HOU,2930,366,910,122,143,186,1048
57,Trevor Booker,PF,27,UTA,1564,226,464,86,148,144,567
71,Trey Burke,PG,22,UTA,2288,370,1005,109,145,119,973
443,Tristan Thompson,PF,23,CLE,2194,267,488,159,248,189,693
114,Troy Daniels,SG,23,CHO,135,27,59,6,7,12,77
274,Ty Lawson,PG,27,DEN,2665,404,926,265,363,128,1143
